Patient_117,Patient_117
Otu0285,Bacilli_unclassified
Otu0286,Gimesia
Otu0287,Capnocytophaga
Otu0288,Roseburia
Otu0289,Bacilli_unclassified
Otu0290,Lachnoanaerobaculum
Otu0291,Streptococcus
Otu0292,Dickeya
Otu0293,Staphylococcus
Otu0294,Streptococcus
Otu0295,Staphylococcus
Otu0296,Streptococcus
Otu0297,Pasteurellaceae_unclassified
Otu0298,Clostridiales_unclassified
Otu0299,Bacilli_unclassified
Otu0300,Actinomycetales_unclassified
Otu0301,Streptococcus
Otu0302,Staphylococcus
Otu0303,Mogibacterium
Otu0304,Streptococcus
Otu0305,SR1_unclassified
Otu0306,Bacteroides
Otu0307,Campylobacter
Otu0308,Ruminococcaceae_unclassified
Otu0309,Streptobacillus
Otu0310,Xanthomonas
Otu0311,Lactobacillales_unclassified
Otu0312,Bacteroides
Otu0313,Prevotella
Otu0314,Streptococcus
Otu0315,Leptotrichia
Otu0316,Prevotella
Otu0317,Corynebacterium
Otu0318,Actinomyces
Otu0319,Bacilli_unclassified
Otu0320,Lachnospiraceae_unclassified
Otu0321,Collinsella
Otu0322,Ruminococcaceae_unclassified
Otu0323,Streptococcus
Otu0324,Enterobacteriaceae_unclassified
Otu0325,Bacillales_unclassified
Otu0326,Bacteria_unclassified
Otu0327,Neisseria
Otu0328,Atopobium
Otu0329,Bacilli_unclassified
Otu0330,Rothia
Otu0331,Prevotella
Otu0332,Pseudomonadaceae_unclassified
Otu0333,Veillonella
Otu0334,Streptococcus
Otu0335,Streptococcus
Otu0336,Rothia
Otu0337,Actinomycetales_unclassified
Otu0338,Blautia
Otu0339,Rothia
Otu0340,Streptococcus
Otu0341,Lautropia
Otu0342,Bacteria_unclassified
Otu0343,Prevotella
Otu0344,Leptotrichia
Otu0345,Olsenella
Otu0346,Chryseobacterium
Otu0347,Alistipes
Otu0348,Bacilli_unclassified
Otu0349,Actinomyces
Otu0350,Corynebacterium
Otu0351,Actinomyces
Otu0352,Methylobacterium
Otu0353,Prevotella
Otu0354,Moraxella
Otu0355,Sediminibacterium
Otu0356,Actinomycetales_unclassified
Otu0357,Capnocytophaga
Otu0358,Pseudomonadaceae_unclassified
Otu0359,Prevotella
Otu0360,Fusobacterium
Otu0361,Blautia
Otu0362,Streptococcus
Otu0363,Veillonella
